City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
269,Yerbogachen,RU,2021-11-23 18:09:28,61.2767,108.0108,7.07,95,100,6.08
270,Salym,RU,2021-11-23 18:09:29,60.0625,71.4789,17.53,93,100,7.94
271,Westport,US,2021-11-23 18:06:19,41.1415,-73.3579,43.86,46,20,1.01
272,Svetlaya,RU,2021-11-23 18:09:29,46.5389,138.3297,18.84,64,92,9.6
273,Skegness,GB,2021-11-23 18:09:30,53.1436,0.3363,46.47,81,43,2.91
274,Dikson,RU,2021-11-23 18:09:30,73.5069,80.5464,-0.67,97,100,15.03
275,Madang,PG,2021-11-23 18:09:31,-5.2246,145.7966,75.88,89,99,4.14
276,Pyatnitskoye,RU,2021-11-23 18:10:31,50.4233,37.8273,27.0,68,49,5.48
277,Sikar,IN,2021-11-23 18:08:12,27.6167,75.15,64.24,16,0,3.74
278,Maningrida,AU,2021-11-23 18:10:32,-12.0667,134.2667,82.4,69,100,6.13
279,Jeremie,HT,2021-11-23 18:10:32,18.65,-74.1167,81.73,72,85,3.42
280,Vostok,RU,2021-11-23 18:10:17,46.4856,135.8833,7.52,92,100,9.98
281,Waipawa,NZ,2021-11-23 18:10:33,-41.4122,175.5153,52.03,73,91,3.18
282,Padang,ID,2021-11-23 18:10:33,-0.9492,100.3543,77.34,77,100,3.58
283,Puerto Madryn,AR,2021-11-23 18:05:48,-42.7692,-65.0385,83.1,26,100,26.51
284,Wells,GB,2021-11-23 18:10:34,51.2079,-2.649,48.2,89,80,5.46
285,Coahuayana,MX,2021-11-23 18:10:34,18.7333,-103.6833,90.88,54,8,5.57
286,Tiksi,RU,2021-11-23 18:10:34,71.6872,128.8694,-21.6,98,76,6.85
287,San Policarpo,PH,2021-11-23 18:10:35,12.1791,125.5072,80.65,84,70,12.08
288,Outlook,CA,2021-11-23 18:10:35,51.5001,-107.0513,29.95,87,36,6.55
289,Matara,LK,2021-11-23 18:10:36,5.9485,80.5353,77.43,90,100,4.59
290,Cayenne,GF,2021-11-23 18:10:36,4.9333,-52.3333,87.84,79,20,5.99
291,Bintulu,MY,2021-11-23 18:10:36,3.1667,113.0333,78.76,84,90,1.97
